group,ratio,k,k_actual,prompt_id,delta_ld_signed
C_imp_asc,0.03,5,5,40,-7.902163505554199
C_imp_asc,0.03,5,5,41,-5.874847412109375
C_imp_asc,0.03,5,5,42,-8.797179222106934
C_imp_asc,0.03,5,5,43,-6.7351274490356445
C_imp_asc,0.03,5,5,44,-11.608402252197266
C_imp_asc,0.03,5,5,45,-9.929098129272461
C_imp_asc,0.03,5,5,46,-7.4329986572265625
C_imp_asc,0.03,5,5,47,-8.076972961425781
C_imp_asc,0.03,5,5,48,-11.138285636901855
C_imp_asc,0.03,5,5,49,-10.111368179321289
C_imp_asc,0.03,5,5,50,-12.769523620605469
C_imp_asc,0.03,5,5,51,-4.559983253479004
C_imp_asc,0.03,5,5,52,-8.460736274719238
C_imp_asc,0.03,5,5,53,-5.410090446472168
C_imp_asc,0.03,5,5,54,-7.123096466064453
C_imp_asc,0.03,5,5,55,-12.558237075805664
C_imp_asc,0.03,5,5,56,-7.069667816162109
C_imp_asc,0.03,5,5,57,-6.432621002197266
C_imp_asc,0.03,5,5,58,-7.902163505554199
C_imp_asc,0.03,5,5,59,-6.642084121704102
C_imp_asc,0.03,5,5,60,-10.414815902709961
C_imp_asc,0.03,5,5,61,-12.33480453491211
C_imp_asc,0.03,5,5,62,-13.535901069641113
C_imp_asc,0.03,5,5,63,-8.792865753173828
C_imp_asc,0.03,5,5,64,-9.597763061523438
C_imp_asc,0.03,5,5,65,-12.007415771484375
C_imp_asc,0.03,5,5,66,-9.487638473510742
C_imp_asc,0.03,5,5,67,-5.166226387023926
C_imp_asc,0.03,5,5,68,-8.665472984313965
C_imp_asc,0.03,5,5,69,-5.717252731323242
C_imp_asc,0.03,5,5,70,-9.704527854919434
C_imp_asc,0.03,5,5,71,-10.259061813354492
C_imp_asc,0.03,5,5,72,-8.536202430725098
C_imp_asc,0.03,5,5,73,-7.8932085037231445
C_imp_asc,0.03,5,5,74,-6.860727310180664
C_imp_asc,0.03,5,5,75,-11.735408782958984
C_imp_asc,0.03,5,5,76,-14.904075622558594
C_imp_asc,0.03,5,5,77,-11.762895584106445
C_imp_asc,0.03,5,5,78,-7.842507362365723
C_imp_asc,0.03,5,5,79,-4.859525680541992
C_imp_asc,0.03,5,5,80,-9.949305534362793
C_imp_asc,0.03,5,5,81,-4.959133148193359
C_imp_asc,0.03,5,5,82,-8.45503044128418
C_imp_asc,0.03,5,5,83,-10.414815902709961
C_imp_asc,0.03,5,5,84,-10.273737907409668
C_imp_asc,0.03,5,5,85,-11.729410171508789
C_imp_asc,0.03,5,5,86,-5.30708122253418
C_imp_asc,0.03,5,5,87,-6.389749526977539
C_imp_asc,0.03,5,5,88,-7.1173200607299805
C_imp_asc,0.03,5,5,89,-6.801346778869629
C_imp_asc,0.03,5,5,90,-6.604133605957031
C_imp_asc,0.03,5,5,91,-10.628679275512695
C_imp_asc,0.03,5,5,92,-10.085797309875488
C_imp_asc,0.03,5,5,93,-8.048261642456055
C_imp_asc,0.03,5,5,94,-9.605710983276367
C_imp_asc,0.03,5,5,95,-8.996228218078613
C_imp_asc,0.03,5,5,96,-5.0714616775512695
C_imp_asc,0.03,5,5,97,-9.939656257629395
C_imp_asc,0.03,5,5,98,-8.058136940002441
C_imp_asc,0.03,5,5,99,-9.624226570129395
C_imp_asc,0.05,8,8,0,-4.829568862915039
C_imp_asc,0.05,8,8,1,-5.5909881591796875
C_imp_asc,0.05,8,8,2,-14.584168434143066
C_imp_asc,0.05,8,8,3,-10.151163101196289
C_imp_asc,0.05,8,8,4,-5.393134117126465
C_imp_asc,0.05,8,8,5,-11.489120483398438
C_imp_asc,0.05,8,8,6,-11.4671049118042
C_imp_asc,0.05,8,8,7,-12.999567031860352
C_imp_asc,0.05,8,8,8,-7.734583854675293
