model,cell,ordering,ratio,argmax_stability,target_top1_stability,mean_target_rank,median_target_rank,mean_margin,mean_abs_delta,n_trials
qwen-2.5-7b-instruct,hihp,hihp_imp_desc,0.2,0.2794117647058823,0.0294117647058823,2428.308823529412,124.5,-0.1480138442095588,4.7361916934742645,68
qwen-2.5-7b-instruct,hihp,hihp_imp_desc,0.3,0.2941176470588235,0.0294117647058823,2681.1911764705883,130.0,-0.057961856617647,5.130514705882353,68
qwen-2.5-7b-instruct,hihp,hihp_imp_desc,0.5,0.3235294117647059,0.0294117647058823,3040.323529411765,211.5,-0.1930721507352941,5.540785845588236,68
qwen-2.5-7b-instruct,hilp,hilp_imp_asc,0.05,0.8676470588235294,0.1617647058823529,280.02941176470586,7.0,4.863432042738971,0.2922506893382353,68
qwen-2.5-7b-instruct,hilp,hilp_imp_asc,0.1,0.8088235294117647,0.1470588235294117,317.8529411764706,9.0,4.835968017578125,0.5315372242647058,68
qwen-2.5-7b-instruct,hilp,hilp_imp_asc,0.2,0.5147058823529411,0.1764705882352941,534.6911764705883,10.0,4.698069852941177,1.8075022977941175,68
qwen-2.5-7b-instruct,hilp,hilp_imp_asc,0.3,0.5147058823529411,0.1764705882352941,534.6911764705883,10.0,4.698069852941177,1.8075022977941175,68
qwen-2.5-7b-instruct,hilp,hilp_imp_asc,0.5,0.5147058823529411,0.1764705882352941,534.6911764705883,10.0,4.698069852941177,1.8075022977941175,68
qwen-2.5-7b-instruct,hilp,hilp_imp_desc,0.05,0.5147058823529411,0.1617647058823529,651.3529411764706,10.0,4.737950942095588,1.9525936351102944,68
qwen-2.5-7b-instruct,hilp,hilp_imp_desc,0.1,0.5294117647058824,0.1764705882352941,495.5,10.5,4.712459788602941,1.825367647058824,68
qwen-2.5-7b-instruct,hilp,hilp_imp_desc,0.2,0.5147058823529411,0.1764705882352941,534.6911764705883,10.0,4.698069852941177,1.8075022977941175,68
qwen-2.5-7b-instruct,hilp,hilp_imp_desc,0.3,0.5147058823529411,0.1764705882352941,534.6911764705883,10.0,4.698069852941177,1.8075022977941175,68
qwen-2.5-7b-instruct,hilp,hilp_imp_desc,0.5,0.5147058823529411,0.1764705882352941,534.6911764705883,10.0,4.698069852941177,1.8075022977941175,68
qwen-2.5-14b-instruct,C,C_imp_asc,0.05,1.0,0.2794117647058823,289.7352941176471,5.0,5.038229549632353,0.1580882352941176,68
qwen-2.5-14b-instruct,C,C_imp_asc,0.1,0.9558823529411764,0.2647058823529412,320.11764705882354,5.0,5.000804227941177,0.2408088235294117,68
qwen-2.5-14b-instruct,C,C_imp_asc,0.2,0.8823529411764706,0.25,253.1764705882353,4.5,4.887124454273897,0.4044117647058823,68
qwen-2.5-14b-instruct,C,C_imp_asc,0.3,0.8823529411764706,0.25,253.1764705882353,4.5,4.887124454273897,0.4044117647058823,68
qwen-2.5-14b-instruct,C,C_imp_asc,0.5,0.8823529411764706,0.25,253.1764705882353,4.5,4.887124454273897,0.4044117647058823,68
qwen-2.5-14b-instruct,D,D_imp_asc,0.05,0.9852941176470588,0.2794117647058823,304.2647058823529,5.0,5.125344669117647,0.049172794117647,68
qwen-2.5-14b-instruct,D,D_imp_asc,0.1,0.9558823529411764,0.2794117647058823,297.27941176470586,5.0,5.126953125,0.0914522058823529,68
qwen-2.5-14b-instruct,D,D_imp_asc,0.2,0.9264705882352942,0.2941176470588235,307.8970588235294,5.0,5.10302734375,0.1732536764705882,68
qwen-2.5-14b-instruct,D,D_imp_asc,0.3,0.9264705882352942,0.3235294117647059,303.86764705882354,4.5,5.141687729779412,0.2334558823529411,68
qwen-2.5-14b-instruct,D,D_imp_asc,0.5,0.9411764705882352,0.3088235294117647,315.9264705882353,4.5,5.169376148897059,0.2886029411764705,68
